Sample,Rep,GM-CSF, IFNγ,IL-1β,IL-1Ra,IL-2,IL-4,IL-5,IL-6,IL-8,IL-10,IL-12p40,IL-12p70,IL-13,MCP-1,TNF-α
J1,AVERAGE,10.97,2.05,"1,956.57","1,697.32",0.34,0.07,0.10,"5,830.34","9,799.26",395.83,9.62,2.22,8.98,"9,577.10","3,470.47"
J1,Replicate 1,21.51,2.09,"2,065.40","1,641.98",0.23,0.04,0.12,"11,059.65","9,820.71",418.57,11.10,2.41,8.04,"10,656.40","4,751.15"
J1,Replicate 2,3.52,2.00,"1,852.47","1,754.80",0.46,0.11,0.08,"4,272.67","9,777.88",373.53,8.14,2.04,9.90,"8,720.38","2,808.78"
J2,AVERAGE,0.74,2.45,64.16,847.46,17.10,0.08,1.56,265.57,"9,182.93",24.24,7.64,1.17,14.26,"11,064.48",165.18
J2,Replicate 1,1.12,2.25,70.59,875.52,18.39,0.07,1.64,280.35,"10,235.61",25.86,8.14,1.17,14.26,"33,847.73",168.85
J2,Replicate 2,0.43,2.66,57.72,820.13,15.82,0.09,1.48,251.45,"8,294.48",22.62,7.14,1.17,14.26,"7,161.39",161.52
J3,AVERAGE,6.85,3.08,"2,624.92","1,918.60",0.26,0.12,0.09,"6,887.35","10,197.41",106.24,12.57,1.61,9.90,"6,256.33",683.10
J3,Replicate 1,10.42,3.21,"2,577.84","1,975.91",0.06,0.12,0.08,"5,922.51","10,359.42",115.55,11.59,1.80,11.69,"7,023.56",693.00
J3,Replicate 2,3.91,2.94,"2,672.87","1,863.27",0.46,0.12,0.10,"8,405.04","10,039.50",97.01,13.54,1.43,8.04,"5,657.08",673.33
J4,AVERAGE,7.30,2.69,"2,484.16","2,001.56",0.46,0.18,0.08,"3,639.06","9,095.26",109.12,10.12,2.04,10.13,"7,297.39","1,200.35"
J4,Replicate 1,6.63,2.77,"2,638.58","2,361.00",0.49,0.14,0.08,"8,223.66","10,659.37",118.71,8.63,1.92,10.80,"11,652.63","1,182.50"
J4,Replicate 2,7.99,2.60,"2,338.67","1,706.57",0.44,0.22,0.08,"2,567.87","7,870.41",99.61,11.59,2.16,9.44,"5,463.92","1,218.65"
J5,AVERAGE,4.24,2.22,"2,229.54","1,339.54",0.29,0.11,0.08,"3,381.52","9,426.59",156.53,10.61,1.67,8.04,"3,394.38",500.34
J5,Replicate 1,4.37,2.42,"2,401.57","1,416.72",0.41,0.14,0.09,"10,319.23","10,087.95",174.28,12.57,1.92,7.07,"8,268.84",536.72
