"Symbol","Placenta_19","Placenta_47","Placenta_67","Placenta_179","Placenta_293","CMV_eg","HIV_eg","CMV_T","HIV_T"
"AAAS",NA,NA,NA,NA,NA,0,0,1,0
"AADACL2",NA,NA,NA,NA,NA,0,0,1,1
"AAR2",NA,NA,NA,NA,NA,0,0,1,0
"ABCC5",NA,NA,NA,NA,NA,0,0,1,0
"ABHD2",NA,NA,NA,NA,NA,0,0,1,0
"ABI3",NA,NA,NA,NA,NA,1,0,0,0
"ABLIM2",NA,NA,NA,NA,NA,1,1,0,0
"ACE2",NA,NA,NA,NA,NA,0,0,0,1
"ACER3",NA,NA,NA,NA,NA,0,0,1,0
"ACOD1",NA,NA,NA,NA,NA,1,0,0,0
"ACOX1",NA,NA,NA,NA,NA,0,0,1,0
"ACOX2",NA,NA,NA,NA,NA,1,0,1,0
"ACSM5",NA,NA,NA,NA,NA,0,0,1,0
"ACSS3",NA,NA,NA,NA,NA,0,0,0,1
"ACTG2",NA,NA,NA,NA,NA,1,1,0,0
"ACTN1",NA,NA,NA,NA,NA,0,0,1,0
"ADAM10",NA,NA,NA,NA,NA,0,0,1,0
"ADAM28",NA,NA,NA,NA,NA,0,0,1,0
"ADAM8",NA,NA,NA,NA,NA,1,0,0,0
"ADAMTS13",NA,NA,NA,NA,NA,0,1,0,0
"ADAMTS18",0,1,0,0,1,0,1,0,0
"ADAMTS19",0,1,0,0,1,0,0,0,1
"ADAMTS2",NA,NA,NA,NA,NA,0,1,0,0
"ADAMTS7",NA,NA,NA,NA,NA,1,1,0,0
"ADAMTSL3",NA,NA,NA,NA,NA,1,1,0,0
"ADAR",NA,NA,NA,NA,NA,0,0,1,0
"ADCY5",NA,NA,NA,NA,NA,0,1,0,0
"ADGRA2",NA,NA,NA,NA,NA,1,1,0,0
"ADGRB2",NA,NA,NA,NA,NA,0,1,0,0
"ADGRE1",NA,NA,NA,NA,NA,1,0,0,0
"ADGRF4",NA,NA,NA,NA,NA,0,0,0,1
"ADK",NA,NA,NA,NA,NA,0,0,1,0
"ADPRS",NA,NA,NA,NA,NA,0,0,1,0
"ADSS1",NA,NA,NA,NA,NA,0,1,0,0
