"Symbol","deg_1","deg_2","ndeg","ddeg","idx","degvcount","virus","gestation","deg_3","deg_4","deg_5","deg_6"
"ABLIM2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ACOX2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ACTG2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ADAMTS7",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ADAMTSL3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ADGRA2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"AGT",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"AGTR1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"AHNAK2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"AKAP6",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"AMH",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ANGPT4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"AOC3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"APLP1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"AQP1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ARG1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ARHGAP28",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ARHGDIG",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ARHGEF33",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ART4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ASPN",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ATG9B",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ATP12A",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
