"Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Direction","Comparison"
"NAALAD2",81.5107602094786,-4.21749059440045,1.30532665369065,-3.23098481324656,0.00123364494334138,0.0158547723474828,"Downregulated","HIV_eg_vs_NT_eg"
"CDH3",97.6941184669238,-4.5423499226615,1.66324797779173,-2.73101184147678,0.00631402029471559,0.041262612013107,"Downregulated","HIV_eg_vs_NT_eg"
"ARMCX4",77.042086314673,-2.8174384396504,0.642953076247653,-4.38202808841555,1.1757964588775e-05,0.0021875413165878,"Downregulated","HIV_eg_vs_NT_eg"
"CD24",479.254594661939,-3.95903688125839,1.39769900088154,-2.83253896494267,0.00461799375133995,0.034026405632221,"Downregulated","HIV_eg_vs_NT_eg"
"ERVMER34-1",60.6095371929653,-4.96834181343405,1.76967528495447,-2.80748782314711,0.00499295674781448,0.0357074063499526,"Downregulated","HIV_eg_vs_NT_eg"
"ZBED6",211.162138414834,-2.05950911868509,0.601676471327913,-3.42295106561124,0.000619452277542802,0.0111916765242068,"Downregulated","HIV_eg_vs_NT_eg"
"CCDC180",62.3947589652216,-3.46538205156087,0.936639673672952,-3.69980276190061,0.000215767093818142,0.00685367508575188,"Downregulated","HIV_eg_vs_NT_eg"
"PTPRU",547.389832839972,-4.74681204726145,1.43359669762527,-3.31112094156221,0.0009292303838849,0.0135340283684559,"Downregulated","HIV_eg_vs_NT_eg"
"MYZAP",349.125246979314,-4.33408639441576,1.09546289582994,-3.956397255365,7.60885913375723e-05,0.00453458341216953,"Downregulated","HIV_eg_vs_NT_eg"
"EDIL3",128.2111785315,-4.91103861274057,1.67836225315311,-2.9260897660885,0.00343251878172513,0.0283527502752645,"Downregulated","HIV_eg_vs_NT_eg"
"CDH11",3884.81915698121,-4.58090048668141,1.40127436496415,-3.2690960465823,0.00107891671276658,0.0147254984769603,"Downregulated","HIV_eg_vs_NT_eg"
"UST",202.770352498932,-2.39968579525341,0.862448806759694,-2.78240954876993,0.00539569032542493,0.0376109939365481,"Downregulated","HIV_eg_vs_NT_eg"
"TSPAN5",559.490024559449,-3.30157634975453,1.03172409104702,-3.20005743628999,0.00137400203463549,0.0167756495193522,"Downregulated","HIV_eg_vs_NT_eg"
"NPIPA8",110.85813138846,-2.29377269164756,0.794839216562433,-2.88583230903957,0.00390380096421237,0.0308037147993228,"Downregulated","HIV_eg_vs_NT_eg"
"TBC1D3G",36.0973789192628,-2.34276203597385,0.681180981286827,-3.43926518844979,0.000583295549009151,0.0108134553261151,"Downregulated","HIV_eg_vs_NT_eg"
"FRY",134.957909059621,-4.75147534183308,1.22467242139644,-3.87979288078945,0.000104545449133142,0.00519535347331854,"Downregulated","HIV_eg_vs_NT_eg"
"FAM13A",429.912507254591,-2.33344807489411,0.696041108924786,-3.35245726865001,0.000800976050161115,0.0124550012234427,"Downregulated","HIV_eg_vs_NT_eg"
"MBNL2",886.364027669638,-2.93750013061653,0.755271691546023,-3.88932905005819,0.000100521747726525,0.00511927160188705,"Downregulated","HIV_eg_vs_NT_eg"
"AASS",238.557999640633,-2.4894584916322,0.743783378682005,-3.34702087057062,0.000816850602083953,0.012577084935338,"Downregulated","HIV_eg_vs_NT_eg"
"PDZK1IP1",327.629618880587,-4.84273097049272,1.3563149781181,-3.57050614984143,0.000356292088599733,0.00859279747011824,"Downregulated","HIV_eg_vs_NT_eg"
"LHFPL6",1219.18691691524,-4.15103168881683,1.51112619513855,-2.7469788441039,0.00601470141054477,0.0401014307354922,"Downregulated","HIV_eg_vs_NT_eg"
"CCDC92B",2.81061479188914,-4.64229192695104,1.36328337353353,-3.40522888863417,0.000661086187389304,0.0114539411713082,"Downregulated","HIV_eg_vs_NT_eg"
"CTDSPL",402.573221564809,-2.62903650514142,0.73642858851846,-3.5699815924182,0.000357006313797063,0.00859675604317488,"Downregulated","HIV_eg_vs_NT_eg"
"MSLN",47.0026332544581,-4.61720702606844,1.25417977957967,-3.68145548289405,0.000231906285109919,0.0069975007185891,"Downregulated","HIV_eg_vs_NT_eg"
