"Source","Target","weight"
"ABLIM2","CMV_eg","-4"
"ABLIM2","HIV_eg","-9"
"ACOX2","CMV_eg","-4"
"ACOX2","CMV_T","-25"
"ACTG2","CMV_eg","-4"
"ACTG2","HIV_eg","-9"
"ADAMTS7","CMV_eg","-4"
"ADAMTS7","HIV_eg","-9"
"ADAMTSL3","CMV_eg","-4"
"ADAMTSL3","HIV_eg","-9"
"ADGRA2","CMV_eg","-4"
"ADGRA2","HIV_eg","-9"
"AGT","CMV_eg","-4"
"AGTR1","CMV_eg","-4"
"AHNAK2","CMV_eg","-4"
"AHNAK2","HIV_eg","-9"
"AKAP6","CMV_eg","-4"
"AKAP6","HIV_eg","-9"
"AMH","CMV_eg","-4"
"ANGPT4","CMV_eg","-4"
"ANGPT4","HIV_eg","-9"
"AOC3","CMV_eg","-4"
"AOC3","HIV_eg","-9"
"APLP1","CMV_eg","-4"
"APLP1","HIV_eg","-9"
"AQP1","CMV_eg","-4"
"AQP1","HIV_eg","-9"
"ARG1","CMV_eg","-4"
"ARHGAP28","CMV_eg","-4"
"ARHGDIG","CMV_eg","-4"
"ARHGEF33","CMV_eg","-4"
"ART4","CMV_eg","-4"
"ART4","HIV_T","-16"
"ASPN","CMV_eg","-4"
"ASPN","CMV_T","-25"
"ASPN","HIV_eg","-9"
"ASPN","HIV_T","-25"
"ATG9B","CMV_eg","-4"
"ATG9B","HIV_eg","-9"
"ATP12A","CMV_eg","-4"
"ATP6V1B1","CMV_eg","-4"
"ATP6V1B1","HIV_eg","-9"
"ATP6V1C2","CMV_eg","-4"
"ATP6V1C2","HIV_eg","-9"
"BARX2","CMV_eg","-4"
"BCAM","CMV_eg","-4"
"BCAM","HIV_eg","-9"
"BMP5","CMV_eg","-4"
"BMP5","HIV_eg","-9"
"C11orf86","CMV_eg","-4"
"C11orf86","HIV_eg","-9"
"C1QTNF3","CMV_eg","-4"
"C1QTNF3","HIV_eg","-9"
"C4B_2","CMV_eg","-4"
"C7","CMV_eg","-4"
"C7","HIV_eg","-9"
"CADM3","CMV_eg","-4"
"CADM3","HIV_eg","-9"
"CCN5","CMV_eg","-4"
"CCN5","HIV_eg","-9"
"CCN6","CMV_eg","-4"
"CDON","CMV_eg","-4"
"CDON","HIV_eg","-9"
"CHAT","CMV_eg","-4"
"CHAT","HIV_eg","-9"
"CHRNA3","CMV_eg","-4"
"CKMT1A","CMV_eg","-4"
"CKMT1A","HIV_eg","-9"
"CLCNKA","CMV_eg","-4"
"CNTFR","CMV_eg","-4"
"CNTFR","HIV_eg","-9"
"CNTN6","CMV_eg","-4"
"CNTN6","CMV_T","-36"
"CNTN6","HIV_eg","-9"
"CNTN6","HIV_T","-16"
"CNTNAP2","CMV_eg","-4"
"COL11A1","CMV_eg","-4"
"COL11A1","HIV_eg","-9"
"COL11A1","HIV_T","-16"
"COL14A1","CMV_eg","-4"
"COL14A1","HIV_eg","-9"
"COL15A1","CMV_eg","-4"
"COL15A1","HIV_eg","-9"
"COL16A1","CMV_eg","-4"
"COL16A1","HIV_eg","-9"
"COL1A1","CMV_eg","-4"
"COL1A1","HIV_eg","-9"
"COL1A2","CMV_eg","-4"
"COL1A2","HIV_eg","-9"
"COL21A1","CMV_eg","-4"
"COL21A1","HIV_eg","-9"
"COL21A1","HIV_T","-16"
"COL3A1","CMV_eg","-4"
"COL3A1","HIV_eg","-9"
"COL5A1","CMV_eg","-4"
"COL5A1","HIV_eg","-9"
"COL5A2","CMV_eg","-4"
"COL5A2","HIV_eg","-9"
"COL6A6","CMV_eg","-4"
"COL6A6","HIV_eg","-9"
"COL9A3","CMV_eg","-4"
"COL9A3","HIV_eg","-9"
"COX4I2","CMV_eg","-4"
"CPA1","CMV_eg","-4"
"CPA1","HIV_eg","-9"
"CPN2","CMV_eg","-4"
"CPN2","HIV_eg","-9"
"CRABP1","CMV_eg","-4"
"CRABP1","HIV_eg","-9"
"CRB2","CMV_eg","-4"
"CST2","CMV_eg","-4"
"CYP2W1","CMV_eg","-4"
"CYP2W1","HIV_eg","-9"
"CYTL1","CMV_eg","-4"
"DLK1","CMV_eg","-4"
"DLK1","HIV_eg","-9"
"DRD1","CMV_eg","-4"
"DRD2","CMV_eg","-4"
"DRD2","HIV_eg","-9"
"DUSP9","CMV_eg","-4"
"DUSP9","HIV_eg","-9"
"ECRG4","CMV_eg","-4"
"ECRG4","CMV_T","-36"
"ECRG4","HIV_eg","-9"
"ECRG4","HIV_T","-16"
"EDN3","CMV_eg","-4"
"EDN3","HIV_eg","-9"
"EGFL6","CMV_eg","-4"
"EGFL6","HIV_eg","-9"
"ELOVL2","CMV_eg","-4"
"ELOVL2","HIV_eg","-9"
"EMID1","CMV_eg","-4"
"EPHA3","CMV_eg","-4"
"EPHA3","HIV_eg","-9"
"EPHA3","HIV_T","-16"
"EPN3","CMV_eg","-4"
"FBN2","CMV_eg","-4"
"FBN2","HIV_eg","-9"
"FGA","CMV_eg","-4"
"FGA","HIV_eg","-9"
"FGB","CMV_eg","-4"
"FGB","HIV_T","-16"
"FGFR2","CMV_eg","-4"
"FGFR2","HIV_eg","-9"
"FGFR3","CMV_eg","-4"
