"Id","Class","Label","Direction","Intersection"
"ABLIM2","gene","ABLIM2","Down-regulated","CMV_eg_AND_HIV_eg"
"ACOX2","gene","ACOX2","Down-regulated","CMV_eg_AND_CMV_T"
"ACTG2","gene","ACTG2","Down-regulated","CMV_eg_AND_HIV_eg"
"ADAMTS7","gene","ADAMTS7","Down-regulated","CMV_eg_AND_HIV_eg"
"ADAMTSL3","gene","ADAMTSL3","Down-regulated","CMV_eg_AND_HIV_eg"
"ADGRA2","gene","ADGRA2","Down-regulated","CMV_eg_AND_HIV_eg"
"AGT","gene","AGT","Down-regulated","CMV_eg"
"AGTR1","Placenta_179","AGTR1","Down-regulated","CMV_eg"
"AHNAK2","gene","AHNAK2","Down-regulated","CMV_eg_AND_HIV_eg"
"AKAP6","gene","AKAP6","Down-regulated","CMV_eg_AND_HIV_eg"
"AMH","gene","AMH","Down-regulated","CMV_eg"
"ANGPT4","gene","ANGPT4","Down-regulated","CMV_eg_AND_HIV_eg"
"AOC3","gene","AOC3","Down-regulated","CMV_eg_AND_HIV_eg"
"APLP1","gene","APLP1","Down-regulated","CMV_eg_AND_HIV_eg"
"AQP1","gene","AQP1","Down-regulated","CMV_eg_AND_HIV_eg"
"ARG1","gene","ARG1","Down-regulated","CMV_eg"
"ARHGAP28","Placenta_47","ARHGAP28","Down-regulated","CMV_eg"
"ARHGDIG","gene","ARHGDIG","Down-regulated","CMV_eg"
"ARHGEF33","gene","ARHGEF33","Down-regulated","CMV_eg"
"ART4","gene","ART4","Down-regulated","CMV_eg_AND_HIV_T"
"ASPN","gene","ASPN","Down-regulated","CMV_eg_AND_CMV_T_AND_HIV_eg_AND_HIV_T"
"ATG9B","Placenta_179","ATG9B","Down-regulated","CMV_eg_AND_HIV_eg"
"ATP12A","Placenta_47","ATP12A","Down-regulated","CMV_eg"
"ATP6V1B1","gene","ATP6V1B1","Down-regulated","CMV_eg_AND_HIV_eg"
"ATP6V1C2","gene","ATP6V1C2","Down-regulated","CMV_eg_AND_HIV_eg"
"BARX2","gene","BARX2","Down-regulated","CMV_eg"
"BCAM","gene","BCAM","Down-regulated","CMV_eg_AND_HIV_eg"
"BMP5","Placenta_67","BMP5","Down-regulated","CMV_eg_AND_HIV_eg"
"C11orf86","gene","C11orf86","Down-regulated","CMV_eg_AND_HIV_eg"
"C1QTNF3","gene","C1QTNF3","Down-regulated","CMV_eg_AND_HIV_eg"
"C4B_2","gene","C4B_2","Down-regulated","CMV_eg"
