Symbol,log2FoldChange,padj,Direction,Comparison,ndeg,ddeg,idx,degvcount,virus.x,gestation.x,signcon,randomSummary,randomP,rank,virus.y,gestation.y,Shared_between_3,Shared_between_rem_vote
TSPAN11,-33.4785986232775,1.29320602942445E-24,Downregulated,HIV_eg_vs_NT_eg,NA,NA,NA,NA,NA,NA,-3,-5.23157092632438,0.00224945450777234,1458,HIV,Early/mid,FALSE,FALSE
SLC38A3,-35.1104606944194,7.42206757036849E-23,Downregulated,HIV_eg_vs_NT_eg,NA,NA,NA,NA,NA,NA,-3,-4.9776406483306,0.0195236690849365,3573,HIV,Early/mid,FALSE,FALSE
SYT3,-32.3953795290709,1.04414640828003E-18,Downregulated,HIV_eg_vs_NT_eg,NA,NA,NA,NA,NA,NA,-3,-6.11066335607385,0.00735789180421293,2545,HIV,Early/mid,FALSE,FALSE
OCA2,-33.6563366328327,9.71684715056672E-15,Downregulated,HIV_eg_vs_NT_eg,NA,NA,NA,NA,NA,NA,-3,-8.31655138113281,0.000764169702373998,754,HIV,Early/mid,FALSE,FALSE
LRP2,-25.4059399088942,3.71831875027012E-12,Downregulated,HIV_eg_vs_NT_eg,3,-3,-9,0.Down-regulated,HIV,Early/mid,-3,-12.1232522646747,1.91013408459802E-07,2,HIV,Early/mid,TRUE,TRUE
ASB4,-31.3565007180184,4.45895251573847E-12,Downregulated,HIV_eg_vs_NT_eg,NA,NA,NA,NA,NA,NA,-3,-6.60304883150521,0.00520277427019814,2017,HIV,Early/mid,FALSE,FALSE
CALHM4,-33.2035740819709,1.50771324250588E-11,Downregulated,HIV_eg_vs_NT_eg,NA,NA,NA,NA,NA,NA,-3,-4.97567951224748,0.0208190215648297,3654,HIV,Early/mid,FALSE,FALSE
OR51E1,-23.8983153346743,2.30276912966881E-10,Downregulated,HIV_eg_vs_NT_eg,3,-3,-9,0.Down-regulated,HIV,Early/mid,-3,-6.19054578096097,0.000177863369562182,600,HIV,Early/mid,TRUE,TRUE
CNTNAP3B,-28.7952652932179,1.23603025737678E-08,Downregulated,HIV_eg_vs_NT_eg,NA,NA,NA,NA,NA,NA,-3,-6.8701377888839,0.000807541824255402,893,HIV,Early/mid,FALSE,FALSE
COL6A6,-29.635356335377,7.75904952435283E-08,Downregulated,HIV_eg_vs_NT_eg,3,-3,-9,0.Down-regulated,HIV,Early/mid,-3,-10.7538554939007,1.13072803682866E-05,46,HIV,Early/mid,TRUE,TRUE
NRIP2,-27.0410858045178,1.49976843240596E-07,Downregulated,HIV_eg_vs_NT_eg,NA,NA,NA,NA,NA,NA,-3,-5.83860500930164,0.00224772488918545,1400,HIV,Early/mid,FALSE,FALSE
C1QTNF3,-7.12192574506218,9.20723789875661E-07,Downregulated,HIV_eg_vs_NT_eg,3,-3,-9,0.Down-regulated,HIV,Early/mid,-3,-7.04886940114755,5.69249233546449E-06,117,HIV,Early/mid,TRUE,TRUE
SLCO1C1,-29.101557782075,2.35290750427905E-06,Downregulated,HIV_eg_vs_NT_eg,NA,NA,NA,NA,NA,NA,-3,-6.77279612430952,0.00375084882361591,1678,HIV,Early/mid,FALSE,FALSE
MEOX2,-25.0459465006558,4.77933153965854E-06,Downregulated,HIV_eg_vs_NT_eg,3,-3,-9,0.Down-regulated,HIV,Early/mid,-3,-7.2184815399419,0.000292774045927958,581,HIV,Early/mid,TRUE,TRUE
