Symbol,log2FoldChange,padj,Direction,Comparison,ndeg,ddeg,idx,degvcount,virus.x,gestation.x,signcon,randomSummary,randomP,rank,virus.y,gestation.y,Shared_2,Shared
A1BG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-2.05614689661817,0.00752940453957252,1194,HIV,Term,FALSE,FALSE
A4GALT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-2.48940032496484,0.00110698078783307,540,HIV,Term,FALSE,FALSE
AADAC,-5.6525704392732,0.0085711376997035,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-3,-21.6966621556623,1.83627358642843E-12,80,HIV,Term,FALSE,FALSE
AADACL2,-7.05591389512887,0.0146243224933132,Downregulated,HIV_T_vs_NT_T,5,-5,-25,0.Down-regulated,HIV,Term,-5,-20.0769860098343,2.54220586101634E-18,33,HIV,Term,TRUE,TRUE
AADACL3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-7.50352542095332,0.0153973603939846,1610,HIV,Term,FALSE,FALSE
AARD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-4.71647631657649,0.0126969388157698,1488,HIV,Term,FALSE,FALSE
ABCA12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.65688695186518,0.0133960116958242,1513,HIV,Term,FALSE,FALSE
ABCA4,-6.82574446535991,0.0385485896962771,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
ABCA8,-6.19535204894295,0.000745311334695268,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
ABCC11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.15376875369997,0.0411276488901075,2546,HIV,Term,FALSE,FALSE
ABCC6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-2.17737656658288,0.00662739508792558,1133,HIV,Term,FALSE,FALSE
ABI3BP,-4.9953937933206,0.00108895295383038,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
ABLIM1,-4.48512576407501,0.00368205610244984,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
ABTB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-2.49700308794568,0.00107801791275618,538,HIV,Term,FALSE,FALSE
