"Symbol","signcon","randomSummary","randomCi.lb","randomCi.ub","randomP","het_QE","het_QEp","het_QM","het_QMp","error","rank","virus","gestation"
"CXCL11",3,4.68752970193804,3.62744873782004,5.74761066605603,4.4487768385457e-18,0.791779204054057,0.673080998613771,75.1114550794754,4.44877683854565e-18,FALSE,1,"HIV","Early/mid"
"LRP2",-3,-12.1232522646747,-16.6857904244411,-7.5607141049083,1.91013408459802e-07,0.00115382967223297,0.99942325154725,27.1219834643902,1.91013408459801e-07,FALSE,2,"HIV","Early/mid"
"COL3A1",-3,-8.6458243287895,-11.8222023289892,-5.46944632858975,9.56228880735874e-08,1.12667592599236,0.569305567797692,28.4606383844808,9.56228880735872e-08,FALSE,3,"HIV","Early/mid"
"COL1A1",-3,-8.56408422635142,-11.7400067850733,-5.38816166762957,1.25586775695573e-07,1.09977336970853,0.577015191236582,27.9330419469278,1.25586775695573e-07,FALSE,4,"HIV","Early/mid"
"CADM3",-3,-9.16136372228687,-12.6492100278821,-5.67351741669167,2.63073322616563e-07,0.0437149069232133,0.97837968974959,26.5034100068968,2.63073322616563e-07,FALSE,5,"HIV","Early/mid"
"SVEP1",-3,-8.0581948095813,-11.0294958972721,-5.08689372189049,1.06400111826701e-07,0.940646122465956,0.624800386891077,28.2538986498476,1.06400111826701e-07,FALSE,6,"HIV","Early/mid"
"PITX2",-3,-8.2151775862943,-11.2675432719329,-5.16281190065568,1.32703162247867e-07,0.282105459687525,0.868443517599321,27.8263964732437,1.32703162247867e-07,FALSE,7,"HIV","Early/mid"
"ITIH5",-3,-7.81077625996583,-10.6867129416153,-4.93483957831635,1.02025018143241e-07,0.932144020266961,0.627462098790974,28.3351774638992,1.02025018143241e-07,FALSE,8,"HIV","Early/mid"
"EPHA3",-3,-10.1390606475444,-14.1564166198968,-6.12170467519192,7.55266679458121e-07,0.367563406208434,0.832117432653921,24.4687054124456,7.55266679458123e-07,FALSE,9,"HIV","Early/mid"
"H4C11",-3,-8.54575147578036,-11.7934969892123,-5.29800596234847,2.50632128534065e-07,0.00234783487315893,0.998826771334948,26.5970038662788,2.50632128534065e-07,FALSE,10,"HIV","Early/mid"
"FBN2",-3,-7.94254729693088,-10.9154949637202,-4.96959963014151,1.63869137828401e-07,1.12920163599157,0.568587071189101,27.4183472709753,1.63869137828402e-07,FALSE,11,"HIV","Early/mid"
"IGDCC4",-3,-8.07269036380369,-11.1338350157918,-5.01154571181557,2.35709807187772e-07,0.605068317101852,0.738943246597317,26.7156083062486,2.35709807187771e-07,FALSE,12,"HIV","Early/mid"
"WFDC1",-3,-8.35503928581106,-11.5576023328356,-5.1524762387865,3.16625795867606e-07,0.173941529176499,0.916703895457236,26.1455509707535,3.16625795867606e-07,FALSE,13,"HIV","Early/mid"
"COL1A2",-3,-8.01328018204953,-11.063068314841,-4.96349204925802,2.60790980667483e-07,0.193900722166545,0.907601057348424,26.5202429112258,2.60790980667483e-07,FALSE,14,"HIV","Early/mid"
"DLK1",-3,-7.93976338075821,-10.9541642974616,-4.92536246405482,2.43757391308138e-07,0.903168930031211,0.636618652092106,26.6507401835408,2.43757391308137e-07,FALSE,15,"HIV","Early/mid"
"CNTN6",-3,-9.66219861216735,-13.5734438853591,-5.75095333897564,1.28652682114679e-06,1.04683127163984,0.59249334635297,23.4432597898193,1.28652682114679e-06,FALSE,16,"HIV","Early/mid"
"SERPINA3",-3,-8.46316957188352,-11.7996543072888,-5.1266848364782,6.64190238379673e-07,2.33883511161571,0.310547765342714,24.7163298748124,6.64190238379675e-07,FALSE,17,"HIV","Early/mid"
"TMEM179",-3,-9.30649855148099,-13.0795298553371,-5.53346724762487,1.3353723997047e-06,0.307446825564165,0.857509164288635,23.3715757014348,1.33537239970471e-06,FALSE,18,"HIV","Early/mid"
"COL11A1",-3,-9.48987694590909,-13.3603182176187,-5.61943567419952,1.54283222906788e-06,0.487797048394434,0.783567143333575,23.0938520908608,1.54283222906789e-06,FALSE,19,"HIV","Early/mid"
"FGA",-3,-10.0992369404538,-14.2973789988559,-5.90109488205174,2.41738782087331e-06,0.592302903938537,0.743674788479444,22.2310023299419,2.41738782087332e-06,FALSE,20,"HIV","Early/mid"
"EGFL6",-3,-7.90206736639245,-10.9759658630919,-4.82816886969298,4.69250344844103e-07,0.643664827328125,0.724819650021489,25.3862523336436,4.69250344844103e-07,FALSE,21,"HIV","Early/mid"
"ATG9B",-3,-8.19026179701984,-11.4173050467585,-4.96321854728122,6.54485524829939e-07,1.73641294528132,0.419703624545662,24.7446991520751,6.54485524829938e-07,FALSE,22,"HIV","Early/mid"
"COL14A1",-3,-7.54247063646414,-10.4358995608485,-4.64904171207982,3.23606385736324e-07,1.4217780613212,0.491207304929519,26.1034434331264,3.23606385736324e-07,FALSE,23,"HIV","Early/mid"
"FBN1",-3,-7.44853086932657,-10.2940878479258,-4.60297389072729,2.89123499200983e-07,1.69810948599063,0.427819139917168,26.3210283866527,2.89123499200984e-07,FALSE,24,"HIV","Early/mid"
"SPON1",-3,-7.7277158954393,-10.7215006797331,-4.73393111114546,4.21101064907084e-07,0.820390277451526,0.663520758906943,25.5951290004405,4.21101064907083e-07,FALSE,25,"HIV","Early/mid"
"COL21A1",-3,-7.59143863663443,-10.5250682930219,-4.657808980247,3.93955056190361e-07,0.47323652879739,0.789292531575403,25.7237203253402,3.93955056190361e-07,FALSE,26,"HIV","Early/mid"
"RNF39",-3,-9.31885348787007,-13.1569867446495,-5.48072023109064,1.94820517200679e-06,0.00162366407857065,0.999188497407187,22.6454550236751,1.9482051720068e-06,FALSE,27,"HIV","Early/mid"
"LOXL1",-3,-7.40268427345209,-10.2466580188769,-4.55871052802728,3.36682536633671e-07,1.33878812729613,0.512018734573567,26.0269615442447,3.36682536633672e-07,FALSE,28,"HIV","Early/mid"
"SBSPON",-3,-9.60438177606881,-13.5984117810981,-5.61035177103947,2.43982520256009e-06,0.766531274302537,0.681631808503011,22.213263365813,2.43982520256009e-06,FALSE,29,"HIV","Early/mid"
"NFASC",-3,-7.59739171897346,-10.5480179462168,-4.64676549173018,4.49754443732054e-07,1.77796005685038,0.411074823631046,25.4681162378573,4.49754443732054e-07,FALSE,30,"HIV","Early/mid"
"PLA2G2A",-3,-8.07125198485587,-11.2740304432649,-4.86847352644685,7.84186315179395e-07,0.804753925911816,0.668728612256474,24.3963130107608,7.84186315179394e-07,FALSE,31,"HIV","Early/mid"
"PEG10",-3,-7.73791991011098,-10.8026880304729,-4.67315178974906,7.47826649511228e-07,1.09546775610719,0.578258731535098,24.4877791462857,7.47826649511226e-07,FALSE,32,"HIV","Early/mid"
"FIBIN",-3,-8.29734214561931,-11.6560771982095,-4.93860709302913,1.28635766977875e-06,0.332965503923527,0.846637419644092,23.4435127442358,1.28635766977875e-06,FALSE,33,"HIV","Early/mid"
"C7",-3,-7.67805288899226,-10.7157338818247,-4.64037189615981,7.26988377741404e-07,0.382521878620263,0.825917045806523,24.5422317751953,7.26988377741406e-07,FALSE,34,"HIV","Early/mid"
"PRL",-3,-7.46921607923687,-10.4044258012597,-4.53400635721404,6.11617359923277e-07,1.4640055857484,0.480944792065601,24.875278658488,6.11617359923276e-07,FALSE,35,"HIV","Early/mid"
"IP6K3",-3,-8.1615865770258,-11.4697405785141,-4.85343257553751,1.32844263323244e-06,0.666811056908793,0.716479582376361,23.3815839558628,1.32844263323244e-06,FALSE,36,"HIV","Early/mid"
"FGG",-3,-9.10279057295024,-12.9227062423009,-5.28287490359961,3.00381124117462e-06,1.56133523209584,0.458100074231227,21.8141217956933,3.00381124117462e-06,FALSE,37,"HIV","Early/mid"
"LAMC3",-3,-7.0473669402094,-9.78259771361864,-4.31213616680015,4.42089201464752e-07,1.6487031604182,0.438519244854607,25.5012814071846,4.42089201464751e-07,FALSE,38,"HIV","Early/mid"
"VAT1L",-3,-9.13176356448738,-12.9745531361381,-5.28897399283662,3.2001771715088e-06,0.755082415316151,0.685544951300285,21.6926341527508,3.20017717150881e-06,FALSE,39,"HIV","Early/mid"
"COL5A1",-3,-7.27502876632745,-10.1399440887434,-4.41011344391149,6.45644241097307e-07,1.41357320315423,0.493226587212436,24.7709140010417,6.45644241097306e-07,FALSE,40,"HIV","Early/mid"
"LARGE2",-3,-9.3269133247214,-13.2942820204384,-5.35954462900435,4.07162584304926e-06,1.0940384078456,0.578672145802077,21.2308283613602,4.07162584304927e-06,FALSE,41,"HIV","Early/mid"
