"Symbol","signcon","randomSummary","randomCi.lb","randomCi.ub","randomP","het_QE","het_QEp","het_QM","het_QMp","error","rank","virus","gestation"
"SELE",-6,-24.8161445997405,-29.0834128429509,-20.54887635653,4.27344322865266e-30,0.00998814755514352,0.999999471539893,129.916680873198,4.27344322865268e-30,FALSE,1,"HIV","Term"
"CDH5",-3,-25.7520605072857,-31.786879842873,-19.7172411716984,6.08076118089285e-17,2.32071995240304e-05,0.999988396467559,69.950625761327,6.08076118089285e-17,FALSE,2,"HIV","Term"
"PKNOX2",-4,-22.2443724626545,-26.8467281804748,-17.6420167448342,2.71889582638012e-21,0.000172725788355642,0.999999396284845,89.7379478815008,2.71889582638016e-21,FALSE,3,"HIV","Term"
"AFF2",-4,-23.3164133575641,-28.5427658044013,-18.0900609107268,2.24959566991327e-18,0.000671933199477718,0.99999536851339,76.4578861193733,2.24959566991328e-18,FALSE,4,"HIV","Term"
"COL11A1",-4,-23.3057173110343,-28.5320716624526,-18.0793629596161,2.33098768374356e-18,4.45323808751993e-05,0.99999992096365,76.3876987727381,2.33098768374353e-18,FALSE,5,"HIV","Term"
"MMRN1",-4,-23.1531655842443,-28.37952188456,-17.9268092839285,3.86166304662602e-18,0.00153654881700955,0.999983988273433,75.3908968503657,3.86166304662603e-18,FALSE,6,"HIV","Term"
"SULT1C4",-6,-19.7828374710445,-23.3981204813412,-16.1675544607478,7.77478397514277e-27,0.0645161681219463,0.999945042915104,115.024074495278,7.77478397514293e-27,FALSE,7,"HIV","Term"
"CHODL",-4,-20.7212509619777,-24.7914222110943,-16.6510797128612,1.8991629718236e-23,0.0589954245030473,0.996255680897144,99.5640969288156,1.89916297182361e-23,FALSE,8,"HIV","Term"
"EPHA3",-4,-22.9592521236333,-28.1856204634235,-17.732883783843,7.30269432713259e-18,0.000478688871416288,0.999997214927938,74.133008943514,7.30269432713263e-18,FALSE,9,"HIV","Term"
"HOXC6",-4,-20.6327046512472,-24.7552506486555,-16.5101586538388,1.02661670221219e-22,0.000277668083558498,0.999998769528457,96.2226880352676,1.0266167022122e-22,FALSE,10,"HIV","Term"
"SFRP1",-3,-22.8103833202088,-28.0116477761069,-17.6091188643107,8.28945364037104e-18,0.0252293080081138,0.987464577235611,73.8828223621598,8.28945364037107e-18,FALSE,11,"HIV","Term"
"ACE2",-4,-20.6853427080655,-24.8435183952725,-16.5271670208585,1.84331206642112e-22,0.000210761409217459,0.999999186274384,95.0639714263168,1.84331206642111e-22,FALSE,12,"HIV","Term"
"PREX2",-5,-21.7098985331567,-26.3846007603942,-17.0351963059192,8.84253149755544e-20,0.000278870458215198,0.999999990279812,82.8521657340703,8.84253149755537e-20,FALSE,13,"HIV","Term"
"AGTR1",-3,-24.3353916541215,-30.3702294671334,-18.3005538411096,2.71124868079906e-15,0.00110180078383208,0.999449251325843,62.465706549914,2.71124868079907e-15,FALSE,14,"HIV","Term"
"TRO",-4,-20.6823919082665,-24.8926089119439,-16.4721749045892,6.07944527449584e-22,8.49207185634292e-05,0.999999791873092,92.7019237670698,6.07944527449583e-22,FALSE,15,"HIV","Term"
"COL21A1",-4,-22.6891079976587,-27.9154946292792,-17.4627213660382,1.7587148342434e-17,2.94331806586207e-05,0.999999957531124,72.3982315649335,1.7587148342434e-17,FALSE,16,"HIV","Term"
"TSPAN18",-4,-22.5113929364979,-27.7377889386935,-17.2849969343022,3.11808154775135e-17,0.000270697450091985,0.999998815568946,71.2682825923411,3.11808154775135e-17,FALSE,17,"HIV","Term"
"RGN",-4,-22.4329067923633,-27.6593048263311,-17.2065087583954,4.00959645125965e-17,0.0031186785233964,0.999953722655539,70.7721390573447,4.00959645125965e-17,FALSE,18,"HIV","Term"
"CD300LG",-4,-22.2054725069036,-27.4318926537599,-16.9790523600473,8.27125932770582e-17,0.000571373690726642,0.999996368176593,69.3437910834828,8.27125932770591e-17,FALSE,19,"HIV","Term"
"ART4",-4,-20.6209048204708,-25.0794494709846,-16.1623601699571,1.24726459375226e-19,8.14784363532356e-05,0.999999804398482,82.1722874766634,1.24726459375226e-19,FALSE,20,"HIV","Term"
"NALCN",-5,-20.7212744017234,-25.2754685259042,-16.1670802775426,4.76058195934288e-19,0.000170012130699398,0.999999996387189,79.5254304671552,4.76058195934288e-19,FALSE,21,"HIV","Term"
"LNX1",-4,-21.2874453269539,-26.2206504998636,-16.3542401540442,2.73149934781608e-17,0.0160594514995474,0.999461329155655,71.5294551075848,2.73149934781608e-17,FALSE,22,"HIV","Term"
"ANO1",-3,-20.6524453005865,-25.3341433958545,-15.9707472053185,5.33274091501897e-18,0.0212753182019831,0.989418720701117,74.7536382615209,5.33274091501898e-18,FALSE,23,"HIV","Term"
"PCDH17",-3,-20.673824601453,-25.3721856011366,-15.9754636017694,6.45006375305804e-18,0.00274892114110988,0.998626483567765,74.3780984636812,6.45006375305803e-18,FALSE,24,"HIV","Term"
"XAGE3",-5,-20.3503596034489,-24.8967392406989,-15.803979966199,1.73769839863038e-18,0.00666423911608065,0.999994460806427,76.9677803114337,1.73769839863038e-18,FALSE,25,"HIV","Term"
"TNNT3",-4,-21.6512305350244,-26.8776995164332,-16.4247615536156,4.68612337486634e-16,0.00124613921118792,0.999988304836496,65.9241586828729,4.68612337486637e-16,FALSE,26,"HIV","Term"
"ARHGAP44",-3,-23.1056790224926,-29.1405612894567,-17.0707967555285,6.18568701428755e-14,0.00076202876979051,0.999619058191868,56.3113643698308,6.18568701428754e-14,FALSE,27,"HIV","Term"
"FGG",-3,-23.0940341120263,-29.12891688317,-17.0591513408827,6.36684073491568e-14,7.26116773370662e-05,0.99996369482038,56.254609132743,6.36684073491568e-14,FALSE,28,"HIV","Term"
