"Symbol","deg_1","deg_2","ndeg","ddeg","idx","degvcount","virus","gestation","deg_3","deg_4","deg_5","deg_6"
"ABLIM2",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ACTG2",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ADAMTS13",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ADAMTS18",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ADAMTS2",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ADAMTS7",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ADAMTSL3",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ADCY5",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ADGRA2",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ADGRB2",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ADSS1",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"AHNAK2",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"AKAP6",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"AMOT",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ANGPT4",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"AOC3",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"APLP1",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"AQP1",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ASPG",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ASPN",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ATG9A",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ATG9B",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ATP6V1B1",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"ATP6V1C2",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"B3GNT3",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
"BCAM",-1,-1,3,-3,-9,"0.Down-regulated","HIV","Early/mid",-1,NA,NA,NA
