"Source","Target","weight"
"ABI3","CMV_eg","1"
"ACOD1","CMV_eg","1"
"ADAM8","CMV_eg","1"
"ADGRE1","CMV_eg","1"
"AGAP2","CMV_eg","1"
"AKR1C1","CMV_eg","1"
"ANKRD22","CMV_eg","1"
"ANKRD22","HIV_eg","4"
"APOBEC3D","CMV_eg","1"
"APOBEC3D","CMV_T","25"
"APOL3","CMV_eg","1"
"APOL3","CMV_T","25"
"APOL3","HIV_eg","4"
"APOL6","CMV_eg","1"
"APOL6","CMV_T","36"
"APOL6","HIV_eg","9"
"APOL6","HIV_T","25"
"ASGR1","CMV_eg","1"
"ATXN7L1","CMV_eg","1"
"ATXN7L1","CMV_T","25"
"AVIL","CMV_eg","1"
"BGLAP","CMV_eg","1"
"BRINP1","CMV_eg","1"
"C19orf38","CMV_eg","1"
"CALHM6","CMV_eg","1"
"CALHM6","CMV_T","25"
"CALHM6","HIV_T","36"
"CCDC71L","CMV_eg","1"
"CCL18","CMV_eg","1"
"CCM2L","CMV_eg","1"
"CCR7","CMV_eg","1"
"CD244","CMV_eg","1"
"CD247","CMV_eg","1"
"CD27","CMV_eg","1"
"CD300H","CMV_eg","1"
"CD5","CMV_eg","1"
"CD6","CMV_eg","1"
"CD74","CMV_eg","1"
"CD74","HIV_eg","9"
"CD74","HIV_T","16"
"CD8A","CMV_eg","1"
"CD96","CMV_eg","1"
"CDKN2A","CMV_eg","1"
"CIITA","CMV_eg","1"
"CIITA","HIV_eg","9"
"CIITA","HIV_T","16"
"CLEC10A","CMV_eg","1"
"CLEC10A","HIV_eg","9"
"CNGA3","CMV_eg","1"
"CRLF2","CMV_eg","1"
"CST7","CMV_eg","1"
"CTLA4","CMV_eg","1"
"CTSW","CMV_eg","1"
"CXCL11","CMV_eg","1"
"CXCL11","CMV_T","25"
"CXCL11","HIV_eg","9"
"CXCR3","CMV_eg","1"
"CYP27B1","CMV_eg","1"
"CYP27B1","HIV_eg","9"
"CYP4F11","CMV_eg","1"
"DRAXIN","CMV_eg","1"
"EOMES","CMV_eg","1"
"EPHB1","CMV_eg","1"
"ERCC8","CMV_eg","1"
"ETV7","CMV_eg","1"
"ETV7","CMV_T","36"
"ETV7","HIV_eg","9"
"ETV7","HIV_T","25"
"FUT7","CMV_eg","1"
"GAPT","CMV_eg","1"
"GBP1","CMV_eg","1"
"GBP1","CMV_T","25"
"GBP1","HIV_eg","9"
"GBP1","HIV_T","25"
"GBP2","CMV_eg","1"
"GBP2","CMV_T","25"
"GBP2","HIV_eg","4"
"GBP2","HIV_T","16"
"GBP4","CMV_eg","1"
"GBP4","CMV_T","25"
"GBP4","HIV_eg","9"
"GBP4","HIV_T","16"
"GFAP","CMV_eg","1"
"GFI1","CMV_eg","1"
"GIMAP7","CMV_eg","1"
"GIMAP7","HIV_eg","4"
"GNGT2","CMV_eg","1"
"GPA33","CMV_eg","1"
"GRAP2","CMV_eg","1"
"GYPC","CMV_eg","1"
"GZMB","CMV_eg","1"
"HDX","CMV_eg","1"
"HDX","CMV_T","25"
"HLA-DMA","CMV_eg","1"
"HLA-DMA","HIV_eg","9"
"HLA-DMA","HIV_T","16"
"HLA-DMB","CMV_eg","1"
"HLA-DMB","HIV_eg","9"
"HLA-DOA","CMV_eg","1"
"HLA-DOA","HIV_eg","4"
"HLA-DOA","HIV_T","16"
"HLA-DPA1","CMV_eg","1"
"HLA-DPA1","HIV_eg","9"
"HLA-DPA1","HIV_T","16"
"HLA-DPB1","CMV_eg","1"
"HLA-DPB1","HIV_eg","4"
"HLA-DPB1","HIV_T","16"
"HLA-DQA1","CMV_eg","1"
"HLA-DQA1","HIV_eg","9"
"HLA-DQA1","HIV_T","16"
"HLA-DQB1","CMV_eg","1"
"HLA-DQB1","HIV_eg","4"
"HLA-DRA","CMV_eg","1"
"HLA-DRA","HIV_eg","9"
"HLA-DRA","HIV_T","25"
"HLA-DRB1","CMV_eg","1"
"HLA-DRB1","HIV_eg","9"
"HLA-DRB1","HIV_T","25"
"HLA-DRB3","CMV_eg","1"
"HLA-DRB3","HIV_eg","4"
"HMGA2","CMV_eg","1"
"IFNG","CMV_eg","1"
"IKZF3","CMV_eg","1"
"IL10","CMV_eg","1"
"IL12A","CMV_eg","1"
"IL13RA2","CMV_eg","1"
"IL15RA","CMV_eg","1"
"IL15RA","CMV_T","25"
"IL15RA","HIV_eg","4"
"IL21R","CMV_eg","1"
"IL2RA","CMV_eg","1"
"IL36RN","CMV_eg","1"
"IL7R","CMV_eg","1"
"INSYN2B","CMV_eg","1"
"IRF1","CMV_eg","1"
"IRF1","CMV_T","25"
"IRF1","HIV_eg","4"
"IRF1","HIV_T","25"
"KIR2DL1","CMV_eg","1"
"KIR2DL3","CMV_eg","1"
"KLHDC7B","CMV_eg","1"
"KLHDC7B","CMV_T","25"
"KLHDC7B","HIV_T","16"
"KLRC1","CMV_eg","1"
"KLRC2","CMV_eg","1"
"KRT33B","CMV_eg","1"
"LCK","CMV_eg","1"
"LGALS9C","CMV_eg","1"
"LIMK2","CMV_eg","1"
"LINS1","CMV_eg","1"
"LMNB1","CMV_eg","1"
"LTB","CMV_eg","1"
"MARCHF4","CMV_eg","1"
"MMP1","CMV_eg","1"
"MMP3","CMV_eg","1"
"MMP7","CMV_eg","1"
"MPND","CMV_eg","1"
"MREG","CMV_eg","1"
"MYO1G","CMV_eg","1"
"NFILZ","CMV_eg","1"
"NKG7","CMV_eg","1"
"NLRC3","CMV_eg","1"
"NUB1","CMV_eg","1"
"NUB1","CMV_T","36"
"NUB1","HIV_eg","9"
"NUB1","HIV_T","36"
"NUDCD1","CMV_eg","1"
"NUDCD1","CMV_T","25"
"PACSIN1","CMV_eg","1"
"PEAK3","CMV_eg","1"
"PFKFB3","CMV_eg","1"
"PLGLB2","CMV_eg","1"
"PLXNC1","CMV_eg","1"
"PPP1R1A","CMV_eg","1"
"PRKCQ","CMV_eg","1"
"PRKCQ","CMV_T","25"
"PROK2","CMV_eg","1"
"PRR9","CMV_eg","1"
"PRSS3","CMV_eg","1"
"RAB43","CMV_eg","1"
"RAB43","CMV_T","25"
"RHCG","CMV_eg","1"
"RHOH","CMV_eg","1"
"RUNX3","CMV_eg","1"
"S100A12","CMV_eg","1"
"S1PR4","CMV_eg","1"
"SAMD3","CMV_eg","1"
"SBK1","CMV_eg","1"
"SBK1","CMV_T","25"
"SDS","CMV_eg","1"
"SDS","CMV_T","25"
"SELL","CMV_eg","1"
"SELL","CMV_T","25"
"SERPINB7","CMV_eg","1"
"SFRP4","CMV_eg","1"
"SH2D1A","CMV_eg","1"
"SH2D1B","CMV_eg","1"
"SKAP1","CMV_eg","1"
"SLAMF1","CMV_eg","1"
"SLC22A1","CMV_eg","1"
"SLC25A22","CMV_eg","1"
"SLC25A22","HIV_T","16"
"SLFN13","CMV_eg","1"
"SOX11","CMV_eg","1"
"SPN","CMV_eg","1"
"STRIP2","CMV_eg","1"
"TAP1","CMV_eg","1"
"TAP1","CMV_T","25"
"TAP1","HIV_eg","9"
"TAP1","HIV_T","25"
"TARP","CMV_eg","1"
"TBC1D10C","CMV_eg","1"
"TCHH","CMV_eg","1"
"TCHH","CMV_T","25"
"TESPA1","CMV_eg","1"
"THEMIS","CMV_eg","1"
"TIFAB","CMV_eg","1"
"TMEM71","CMV_eg","1"
"TMIGD2","CMV_eg","1"
"TNFRSF6B","CMV_eg","1"
"TPSB2","CMV_eg","1"
"TPSD1","CMV_eg","1"
"TRAF3IP3","CMV_eg","1"
"VGF","CMV_eg","1"
"VMO1","CMV_eg","1"
"VPS9D1","CMV_eg","1"
"VPS9D1","HIV_T","16"
"ZAP70","CMV_eg","1"
"ZNF683","CMV_eg","1"
"ZP4","CMV_eg","1"
"AAR2","CMV_T","25"
"ACSM5","CMV_T","25"
"ADAR","CMV_T","25"
"ADPRS","CMV_T","25"
"AEN","CMV_T","25"
"AIDA","CMV_T","25"
"AIM2","CMV_T","25"
"AKAP7","CMV_T","25"
"AKT2","CMV_T","25"
"AMBRA1","CMV_T","25"
"AMER1","CMV_T","25"
"ANKIB1","CMV_T","25"
"ANXA2R","CMV_T","25"
"APOBEC3A_B","CMV_T","25"
"APOBEC3F","CMV_T","25"
"APOBEC3G","CMV_T","25"
"APOL1","CMV_T","25"
"APOL2","CMV_T","25"
"APOL2","HIV_T","16"
"ARMCX1","CMV_T","25"
"ASAH2B","CMV_T","25"
"ASCL2","CMV_T","25"
"ASPHD2","CMV_T","25"
"ATF5","CMV_T","25"
"ATP10A","CMV_T","25"
"ATP1A3","CMV_T","25"
"ATXN7","CMV_T","25"
"AZI2","CMV_T","25"
"AZIN2","CMV_T","25"
"BARD1","CMV_T","25"
"BATF2","CMV_T","25"
"BATF2","HIV_T","25"
"BATF3","CMV_T","25"
"BAZ1A","CMV_T","25"
"BCL2L13","CMV_T","25"
"BEND3","CMV_T","25"
"BLOC1S3","CMV_T","25"
"BLZF1","CMV_T","25"
"BRD7","CMV_T","25"
"BST2","CMV_T","25"
"BTN2A2","CMV_T","25"
"BTN2A2","HIV_T","25"
"BTN3A1","CMV_T","25"
"BTN3A3","CMV_T","25"
"C18orf25","CMV_T","25"
"C1GALT1","CMV_T","25"
"C2orf49","CMV_T","25"
"C3orf14","CMV_T","25"
"CACNA1A","CMV_T","25"
"CADM4","CMV_T","25"
"CALCOCO2","CMV_T","25"
"CARD16","CMV_T","25"
"CARD16","HIV_T","16"
"CASP1","CMV_T","25"
"CASP10","CMV_T","25"
"CASP3","CMV_T","25"
"CASP7","CMV_T","25"
"CASP8","CMV_T","25"
