"Id","Class","Label","Direction","Intersection"
"ABI3","gene","ABI3","Up-regulated","CMV_eg"
"ACOD1","gene","ACOD1","Up-regulated","CMV_eg"
"ADAM8","gene","ADAM8","Up-regulated","CMV_eg"
"ADGRE1","gene","ADGRE1","Up-regulated","CMV_eg"
"AGAP2","gene","AGAP2","Up-regulated","CMV_eg"
"AKR1C1","gene","AKR1C1","Up-regulated","CMV_eg"
"ANKRD22","gene","ANKRD22","Up-regulated","CMV_eg_AND_HIV_eg"
"APOBEC3D","gene","APOBEC3D","Up-regulated","CMV_eg_AND_CMV_T"
"APOL3","gene","APOL3","Up-regulated","CMV_eg_AND_CMV_T_AND_HIV_eg"
"APOL6","gene","APOL6","Up-regulated","CMV_eg_AND_CMV_T_AND_HIV_eg_AND_HIV_T"
"ASGR1","gene","ASGR1","Up-regulated","CMV_eg"
"ATXN7L1","gene","ATXN7L1","Up-regulated","CMV_eg_AND_CMV_T"
"AVIL","gene","AVIL","Up-regulated","CMV_eg"
"BGLAP","gene","BGLAP","Up-regulated","CMV_eg"
"BRINP1","gene","BRINP1","Up-regulated","CMV_eg"
"C19orf38","gene","C19orf38","Up-regulated","CMV_eg"
"CALHM6","gene","CALHM6","Up-regulated","CMV_eg_AND_CMV_T_AND_HIV_T"
"CCDC71L","gene","CCDC71L","Up-regulated","CMV_eg"
"CCL18","gene","CCL18","Up-regulated","CMV_eg"
"CCM2L","gene","CCM2L","Up-regulated","CMV_eg"
"CCR7","gene","CCR7","Up-regulated","CMV_eg"
"CD244","gene","CD244","Up-regulated","CMV_eg"
"CD247","gene","CD247","Up-regulated","CMV_eg"
"CD27","gene","CD27","Up-regulated","CMV_eg"
"CD300H","gene","CD300H","Up-regulated","CMV_eg"
"CD5","gene","CD5","Up-regulated","CMV_eg"
"CD6","gene","CD6","Up-regulated","CMV_eg"
"CD74","gene","CD74","Up-regulated","CMV_eg_AND_HIV_eg_AND_HIV_T"
"CD8A","gene","CD8A","Up-regulated","CMV_eg"
"CD96","gene","CD96","Up-regulated","CMV_eg"
"CDKN2A","gene","CDKN2A","Up-regulated","CMV_eg"
"CIITA","gene","CIITA","Up-regulated","CMV_eg_AND_HIV_eg_AND_HIV_T"
"CLEC10A","gene","CLEC10A","Up-regulated","CMV_eg_AND_HIV_eg"
"CNGA3","gene","CNGA3","Up-regulated","CMV_eg"
"CRLF2","gene","CRLF2","Up-regulated","CMV_eg"
"CST7","gene","CST7","Up-regulated","CMV_eg"
"CTLA4","gene","CTLA4","Up-regulated","CMV_eg"
"CTSW","gene","CTSW","Up-regulated","CMV_eg"
"CXCL11","gene","CXCL11","Up-regulated","CMV_eg_AND_CMV_T_AND_HIV_eg"
"CXCR3","gene","CXCR3","Up-regulated","CMV_eg"
"CYP27B1","gene","CYP27B1","Up-regulated","CMV_eg_AND_HIV_eg"
"CYP4F11","gene","CYP4F11","Up-regulated","CMV_eg"
"DRAXIN","gene","DRAXIN","Up-regulated","CMV_eg"
"EOMES","gene","EOMES","Up-regulated","CMV_eg"
"EPHB1","gene","EPHB1","Up-regulated","CMV_eg"
"ERCC8","gene","ERCC8","Up-regulated","CMV_eg"
"ETV7","gene","ETV7","Up-regulated","CMV_eg_AND_CMV_T_AND_HIV_eg_AND_HIV_T"
"FUT7","gene","FUT7","Up-regulated","CMV_eg"
"GAPT","gene","GAPT","Up-regulated","CMV_eg"
"GBP1","gene","GBP1","Up-regulated","CMV_eg_AND_CMV_T_AND_HIV_eg_AND_HIV_T"
"GBP2","gene","GBP2","Up-regulated","CMV_eg_AND_CMV_T_AND_HIV_eg_AND_HIV_T"
"GBP4","gene","GBP4","Up-regulated","CMV_eg_AND_CMV_T_AND_HIV_eg_AND_HIV_T"
"GFAP","gene","GFAP","Up-regulated","CMV_eg"
"GFI1","gene","GFI1","Up-regulated","CMV_eg"
"GIMAP7","gene","GIMAP7","Up-regulated","CMV_eg_AND_HIV_eg"
"GNGT2","gene","GNGT2","Up-regulated","CMV_eg"
"GPA33","gene","GPA33","Up-regulated","CMV_eg"
"GRAP2","gene","GRAP2","Up-regulated","CMV_eg"
"GYPC","gene","GYPC","Up-regulated","CMV_eg"
"GZMB","gene","GZMB","Up-regulated","CMV_eg"
"HDX","gene","HDX","Up-regulated","CMV_eg_AND_CMV_T"
"HLA-DMA","gene","HLA-DMA","Up-regulated","CMV_eg_AND_HIV_eg_AND_HIV_T"
"HLA-DMB","gene","HLA-DMB","Up-regulated","CMV_eg_AND_HIV_eg"
"HLA-DOA","gene","HLA-DOA","Up-regulated","CMV_eg_AND_HIV_eg_AND_HIV_T"
"HLA-DPA1","gene","HLA-DPA1","Up-regulated","CMV_eg_AND_HIV_eg_AND_HIV_T"
